student_id,quiz_score,accuracy,retry_count,avg_quiz_time,course_completion,chat_complexity,learning_speed,weak_topics_count,student_level
75,17,23.1,4,641,21,1,1,4,School Student
76,43,49.41,4,474,58,3,2,3,Beginner
77,91,91.52,0,72,97,10,3,1,Advanced
78,37,36.85,4,300,7,1,1,7,School Student
79,99,92.17,0,115,80,8,3,0,Advanced
80,96,99.67,0,120,94,7,3,1,Advanced
81,50,62.98,5,426,38,4,2,2,Beginner
82,48,45.42,4,200,22,4,2,4,Beginner
83,21,43.55,9,707,32,1,1,5,School Student
84,35,23.59,7,477,32,2,1,8,School Student
85,100,91.8,0,76,88,7,3,0,Advanced
86,80,68.25,2,154,55,6,3,3,Intermediate
87,79,83.38,2,175,79,6,3,3,Intermediate
88,42,37.22,5,523,15,1,1,5,School Student
89,66,60.73,2,297,54,3,2,2,Beginner
90,4,34.21,8,736,27,1,1,8,School Student
91,83,69.95,2,229,50,7,3,1,Intermediate
92,65,78.43,2,211,80,7,3,2,Intermediate
93,61,59.31,4,505,31,3,2,3,Beginner
94,98,98.15,0,76,95,9,3,0,Advanced
95,56,55.51,3,274,58,4,2,5,Beginner
96,86,93.85,1,138,98,9,3,1,Advanced
97,45,51.27,4,229,36,3,2,2,Beginner
98,26,27.22,7,368,38,2,1,8,School Student
99,69,55.84,5,570,42,3,2,5,Beginner
100,25,32.43,7,580,7,2,1,6,School Student
101,51,55.05,4,476,24,4,2,5,Beginner
102,30,29.21,8,532,16,2,1,9,School Student
103,53,48.25,4,272,45,3,2,4,Beginner
104,79,75.23,3,182,66,6,3,1,Intermediate
105,44,16.46,9,825,30,2,1,9,School Student
106,52,41.56,4,511,26,3,2,4,Beginner
107,75,75.64,1,137,87,7,3,3,Intermediate
108,34,35.81,7,338,21,1,1,9,School Student
109,51,45.83,2,411,44,4,2,3,Beginner
110,77,74.59,3,153,57,5,3,3,Intermediate
111,44,49.08,3,519,53,3,2,5,Beginner
112,45,55.14,2,349,40,4,2,3,Beginner
113,13,39.78,9,649,35,2,1,4,School Student
114,40,24.36,7,522,10,2,1,7,School Student
115,88,85.08,1,172,85,9,3,1,Advanced
116,99,93.03,1,110,92,10,3,0,Advanced
117,13,24.89,4,831,16,1,1,4,School Student
118,70,76.62,3,219,62,7,3,3,Intermediate
119,19,29.2,5,471,6,1,1,5,School Student
120,46,10.09,4,849,39,2,1,4,School Student
121,96,99.48,1,176,90,7,3,1,Advanced
122,44,42.43,9,871,33,2,1,6,School Student
123,78,80.99,3,284,54,7,3,3,Intermediate
124,68,71.32,2,208,67,7,3,2,Intermediate
125,98,89.52,0,122,94,7,3,0,Advanced
126,91,92.98,0,163,87,9,3,0,Advanced
127,0,21.65,6,853,19,1,1,8,School Student
128,46,54.33,2,237,52,3,2,2,Beginner
129,65,65.67,2,185,59,5,3,3,Intermediate
130,70,75.73,3,228,73,7,3,1,Intermediate
131,68,45.73,5,372,21,3,2,4,Beginner
132,57,53.57,4,482,24,4,2,4,Beginner
133,90,88.41,0,106,93,9,3,1,Advanced
134,92,92.59,0,156,94,10,3,1,Advanced
135,45,54.13,5,332,56,4,2,4,Beginner
136,73,73.48,1,159,71,7,3,3,Intermediate
137,61,44.47,9,719,27,1,1,4,School Student
138,58,54.78,2,508,28,4,2,5,Beginner
139,73,67.29,1,209,60,6,3,2,Intermediate
140,66,58.44,2,327,43,3,2,4,Beginner
141,33,20.9,8,362,26,2,1,7,School Student
142,16,44.14,4,447,26,2,1,8,School Student
143,16,30.84,8,514,23,2,1,9,School Student
144,38,26.52,6,317,5,2,1,6,School Student
145,41,53.36,2,313,49,4,2,4,Beginner
146,10,21.7,6,757,23,2,1,5,School Student
147,62,64.47,5,377,26,3,2,5,Beginner
148,12,18.09,6,627,7,1,1,4,School Student
149,47,42.49,5,287,33,4,2,5,Beginner
150,80,72.94,1,261,80,7,3,2,Intermediate
151,16,35.76,8,446,23,2,1,8,School Student
152,41,62.77,2,210,21,3,2,4,Beginner
153,29,31.85,9,555,34,1,1,5,School Student
154,87,99.23,1,167,96,8,3,1,Advanced
155,53,51.78,5,408,36,4,2,2,Beginner
156,52,50.06,2,445,41,3,2,3,Beginner
157,94,98.51,1,146,84,9,3,1,Advanced
158,89,97.23,0,97,81,7,3,0,Advanced
159,76,69.13,2,205,70,7,3,1,Intermediate
160,66,54.94,5,436,26,4,2,2,Beginner
161,66,65.94,2,226,50,7,3,1,Intermediate
162,75,70.77,1,158,89,7,3,2,Intermediate
163,54,63.85,3,268,52,4,2,5,Beginner
164,58,54.88,4,536,53,3,2,3,Beginner
165,48,41.88,2,328,44,3,2,4,Beginner
166,60,46.16,4,428,49,4,2,3,Beginner
167,51,60.19,2,216,29,3,2,4,Beginner
168,51,53.55,5,538,27,3,2,2,Beginner
169,69,78.85,2,144,67,5,3,3,Intermediate
170,73,83.88,3,151,59,7,3,1,Intermediate
171,30,26.56,9,634,11,1,1,6,School Student
172,86,91.33,0,141,99,9,3,0,Advanced
173,49,56.11,3,358,43,3,2,5,Beginner
174,43,40.97,6,482,27,2,1,4,School Student
175,61,47.97,3,360,35,3,2,3,Beginner
176,86,85.37,1,93,92,7,3,1,Advanced
177,92,86.05,1,175,96,7,3,1,Advanced
178,55,61.84,4,576,29,4,2,2,Beginner
179,59,58.44,3,376,22,3,2,3,Beginner
180,57,47.41,3,492,44,4,2,2,Beginner
181,99,91.42,0,147,83,10,3,0,Advanced
182,97,88.88,1,129,86,10,3,0,Advanced
183,95,98.56,1,84,86,10,3,1,Advanced
184,38,39.32,9,542,14,1,1,5,School Student
185,12,38.92,8,353,27,1,1,4,School Student
186,94,92.88,0,165,82,8,3,1,Advanced
187,67,81.32,2,132,74,5,3,2,Intermediate
188,95,98.16,0,151,88,9,3,0,Advanced
189,94,97.14,1,84,84,9,3,0,Advanced
190,67,49.32,5,450,24,4,2,3,Beginner
191,44,45.5,2,483,24,3,2,2,Beginner
192,41,28.06,6,622,38,2,1,6,School Student
193,85,98.18,0,139,87,10,3,0,Advanced
194,22,39.3,4,469,31,2,1,7,School Student
195,40,38.9,5,662,34,1,1,5,School Student
196,78,80.13,3,132,76,5,3,1,Intermediate
197,66,77.68,1,282,55,7,3,2,Intermediate
198,54,39.4,7,871,19,2,1,8,School Student
199,84,78.76,2,187,76,5,3,2,Intermediate
200,65,66.16,3,169,63,7,3,1,Intermediate
201,66,43.25,2,206,48,3,2,2,Beginner
202,54,60.47,4,257,42,4,2,3,Beginner
203,68,63.61,4,596,58,3,2,4,Beginner
204,75,69.42,2,294,63,6,3,3,Intermediate
205,56,64.08,5,291,48,3,2,4,Beginner
206,66,64.11,4,586,20,4,2,5,Beginner
207,66,69.26,1,144,73,6,3,3,Intermediate
208,65,64.2,3,344,48,3,2,5,Beginner
209,57,59.03,4,548,43,4,2,3,Beginner
210,78,74.24,2,136,69,5,3,2,Intermediate
211,31,30.37,8,685,28,2,1,6,School Student
212,85,85.17,1,153,97,8,3,0,Advanced
213,75,78.9,1,221,57,7,3,2,Intermediate
214,73,69.84,1,165,81,7,3,2,Intermediate
215,84,71.92,2,216,51,5,3,1,Intermediate
216,98,85.5,1,85,86,8,3,1,Advanced
217,53,57.33,4,305,59,3,2,2,Beginner
218,70,76.9,1,222,80,5,3,2,Intermediate
219,92,95.71,1,143,94,9,3,0,Advanced
220,29,29.36,9,613,26,2,1,6,School Student
221,23,12.86,9,311,27,2,1,8,School Student
222,58,45.48,4,437,55,3,2,5,Beginner
223,89,94.88,0,103,97,8,3,1,Advanced
224,69,84.93,1,178,52,6,3,3,Intermediate
225,92,70.15,1,213,70,7,3,2,Intermediate
226,69,71.92,2,139,73,6,3,1,Intermediate
227,48,50.97,2,553,55,4,2,4,Beginner
228,90,94.83,0,174,91,9,3,0,Advanced
229,60,58.33,4,481,27,4,2,5,Beginner
230,74,69.75,2,121,86,5,3,2,Intermediate
231,78,42.43,2,310,33,4,2,4,Beginner
232,71,68.27,3,208,77,6,3,3,Intermediate
233,65,80.47,1,270,80,7,3,2,Intermediate
234,23,21.58,8,660,5,1,1,7,School Student
235,51,57.67,5,573,39,4,2,2,Beginner
236,79,78.28,1,168,77,7,3,3,Intermediate
237,66,42.8,3,533,21,3,2,4,Beginner
238,35,11.38,6,497,9,1,1,4,School Student
239,51,43.71,2,441,43,3,2,4,Beginner
240,34,32.37,4,338,35,2,1,6,School Student
241,51,53.31,4,583,35,4,2,3,Beginner
242,72,84.4,1,127,78,6,3,1,Intermediate
243,99,95.39,0,178,90,8,3,1,Advanced
244,56,60.77,4,431,31,3,2,5,Beginner
245,68,78.53,3,150,65,6,3,1,Intermediate
246,73,67.13,2,182,58,5,3,1,Intermediate
247,97,96.74,0,90,88,9,3,1,Advanced
248,70,71.54,2,138,55,6,3,2,Intermediate
249,91,91.53,0,60,86,7,3,0,Advanced
250,51,55.25,4,515,48,3,2,2,Beginner
251,44,17.95,5,566,39,2,1,9,School Student
252,66,74.27,3,204,75,6,3,2,Intermediate
253,96,90.12,1,64,81,10,3,0,Advanced
254,54,49.86,4,525,40,3,2,4,Beginner
255,24,18.52,6,350,19,2,1,8,School Student
256,58,42.54,2,572,46,3,2,4,Beginner
257,44,47.78,5,357,37,4,2,2,Beginner
258,64,53.06,4,550,29,3,2,2,Beginner
259,45,24.86,9,684,17,1,1,9,School Student
260,73,80.87,3,129,73,6,3,1,Intermediate
261,72,80.4,1,273,76,5,3,2,Intermediate
262,68,73.47,2,208,67,7,3,2,Intermediate
263,57,43.82,2,307,53,3,2,4,Beginner
264,61,40.59,4,359,30,4,2,2,Beginner
265,68,41.46,2,457,54,3,2,2,Beginner
266,74,73.56,3,288,60,7,3,2,Intermediate
267,35,21.8,8,335,37,2,1,6,School Student
268,40,45.67,2,395,32,3,2,5,Beginner
269,14,12.45,8,529,12,2,1,6,School Student
270,54,51.42,3,525,21,3,2,5,Beginner
271,42,58.27,3,315,27,4,2,5,Beginner
272,14,16.14,4,610,20,2,1,9,School Student
273,62,58.9,2,599,31,4,2,5,Beginner
274,69,45.87,5,314,59,4,2,2,Beginner
275,76,69.87,2,268,69,6,3,2,Intermediate
276,48,40.26,8,759,38,1,1,9,School Student
277,32,19.21,5,660,25,2,1,6,School Student
278,10,20.69,7,706,30,2,1,5,School Student
279,42,59.66,4,541,56,4,2,3,Beginner
280,56,42.91,3,490,49,4,2,3,Beginner
281,90,87.12,0,111,93,7,3,0,Advanced
282,41,43.84,4,405,39,4,2,5,Beginner
283,86,86.99,1,92,83,9,3,1,Advanced
284,25,36.77,8,735,7,1,1,4,School Student
285,77,72.35,1,144,64,5,3,1,Intermediate
286,88,91.59,1,122,85,10,3,0,Advanced
287,11,32.76,6,586,9,1,1,5,School Student
288,34,52.12,3,452,50,4,2,4,Beginner
289,48,43.56,2,355,26,4,2,5,Beginner
290,13,32.16,4,400,33,2,1,7,School Student
291,58,58.11,2,315,54,3,2,4,Beginner
292,46,58.34,3,332,21,4,2,4,Beginner
293,45,46.5,3,513,58,3,2,2,Beginner
294,65,46.03,2,380,37,3,2,2,Beginner
295,26,13.84,7,694,25,2,1,8,School Student
296,43,61.62,5,451,37,4,2,4,Beginner
297,59,61.49,3,220,32,3,2,2,Beginner
298,20,43.0,5,871,33,1,1,5,School Student
299,56,26.15,6,499,19,1,1,7,School Student
300,58,42.64,5,286,56,4,2,2,Beginner
301,32,35.07,8,734,28,1,1,4,School Student
302,89,90.81,0,169,83,9,3,1,Advanced
303,71,80.68,3,124,54,6,3,2,Intermediate
304,74,65.42,1,255,89,5,3,1,Intermediate
305,57,40.26,5,581,23,4,2,2,Beginner
306,82,71.44,3,121,62,5,3,3,Intermediate
307,67,43.92,3,470,36,4,2,3,Beginner
308,34,23.16,9,423,29,2,1,9,School Student
309,59,43.04,5,373,40,3,2,3,Beginner
310,71,81.93,1,294,67,5,3,1,Intermediate
311,17,36.19,9,535,36,1,1,9,School Student
312,77,68.3,1,299,76,6,3,3,Intermediate
313,62,61.02,2,477,56,3,2,2,Beginner
314,61,54.13,2,229,58,4,2,4,Beginner
315,89,87.4,1,117,95,10,3,0,Advanced
316,67,84.84,3,183,83,7,3,1,Intermediate
317,53,55.4,4,265,32,3,2,5,Beginner
318,49,59.02,3,211,36,4,2,3,Beginner
319,84,71.54,3,189,68,5,3,2,Intermediate
320,68,56.08,3,223,54,4,2,2,Beginner
321,72,68.57,2,157,53,5,3,1,Intermediate
322,16,26.83,9,814,28,1,1,5,School Student
323,43,41.32,5,361,49,4,2,4,Beginner
324,67,48.05,4,565,38,4,2,5,Beginner
325,57,64.55,2,555,38,4,2,2,Beginner
326,42,13.1,7,412,32,1,1,6,School Student
327,77,68.47,2,123,69,7,3,3,Intermediate
328,79,81.8,3,222,58,6,3,1,Intermediate
329,19,21.71,8,553,10,1,1,6,School Student
330,60,41.4,4,501,45,3,2,2,Beginner
331,69,74.62,1,193,54,6,3,2,Intermediate
332,48,41.64,6,612,10,1,1,9,School Student
333,40,42.29,4,847,25,2,1,7,School Student
334,31,19.16,6,519,18,2,1,5,School Student
335,61,50.72,2,404,25,4,2,2,Beginner
336,63,41.16,3,449,40,4,2,3,Beginner
337,46,42.16,4,359,30,4,2,5,Beginner
338,46,49.84,3,575,33,3,2,2,Beginner
339,86,87.17,0,149,84,10,3,0,Advanced
340,64,63.68,5,360,23,3,2,3,Beginner
341,31,29.64,4,872,38,2,1,5,School Student
342,46,57.7,2,297,25,4,2,3,Beginner
343,74,68.32,2,141,51,6,3,2,Intermediate
344,68,58.73,5,543,59,4,2,5,Beginner
345,42,41.3,4,248,51,3,2,2,Beginner
346,13,36.49,9,675,25,1,1,9,School Student
347,23,18.36,4,357,32,2,1,4,School Student
348,34,13.3,6,343,37,2,1,7,School Student
349,71,78.14,1,242,68,5,3,3,Intermediate
350,21,28.32,7,775,25,2,1,4,School Student
351,55,62.42,3,241,39,4,2,5,Beginner
352,25,40.0,6,582,37,2,1,4,School Student
353,17,41.29,7,559,34,2,1,9,School Student
354,41,14.12,6,315,5,1,1,8,School Student
355,89,95.88,1,63,85,8,3,0,Advanced
356,69,76.2,1,144,69,6,3,2,Intermediate
357,14,44.07,7,776,13,2,1,9,School Student
358,58,58.99,2,594,21,3,2,5,Beginner
359,60,46.36,3,330,31,4,2,3,Beginner
360,30,13.95,5,489,37,1,1,6,School Student
361,27,36.21,4,578,26,1,1,8,School Student
362,79,70.08,1,244,65,6,3,2,Intermediate
363,63,41.74,4,400,39,4,2,2,Beginner
364,67,78.88,1,166,87,7,3,3,Intermediate
365,23,41.63,4,850,13,1,1,7,School Student
366,82,78.02,2,270,76,6,3,2,Intermediate
367,43,49.54,3,234,38,4,2,4,Beginner
368,29,10.63,9,453,27,2,1,4,School Student
369,49,60.65,4,400,47,4,2,2,Beginner
370,73,71.1,3,240,68,7,3,2,Intermediate
371,45,13.38,9,564,37,2,1,7,School Student
372,50,41.86,2,533,49,3,2,5,Beginner
373,37,39.83,4,897,20,1,1,9,School Student
374,76,76.66,2,169,70,7,3,1,Intermediate
375,29,17.71,7,500,13,2,1,6,School Student
376,64,65.5,3,294,89,6,3,2,Intermediate
377,28,41.24,8,705,25,1,1,9,School Student
378,68,55.99,4,547,47,4,2,3,Beginner
379,67,78.04,2,281,76,7,3,1,Intermediate
380,62,50.17,3,352,37,3,2,2,Beginner
381,65,62.68,4,579,20,3,2,2,Beginner
382,42,44.9,4,436,39,4,2,2,Beginner
383,45,61.35,2,389,27,3,2,5,Beginner
384,35,26.2,8,617,13,2,1,8,School Student
385,56,42.85,4,258,58,3,2,2,Beginner
386,20,11.57,6,632,5,2,1,7,School Student
387,72,83.15,1,228,61,5,3,1,Intermediate
388,71,84.08,1,127,74,7,3,2,Intermediate
389,32,11.42,7,623,34,1,1,7,School Student
390,58,54.91,5,283,52,4,2,3,Beginner
391,48,63.54,4,484,29,4,2,4,Beginner
392,49,52.55,4,317,28,3,2,4,Beginner
393,88,94.57,0,61,85,9,3,1,Advanced
394,86,85.18,1,71,82,9,3,0,Advanced
395,14,11.53,8,873,35,1,1,4,School Student
396,75,73.6,3,292,58,5,3,2,Intermediate
397,76,80.97,3,275,64,5,3,3,Intermediate
398,20,30.38,5,417,37,2,1,5,School Student
399,46,32.6,8,867,5,1,1,7,School Student
400,49,56.15,5,325,30,3,2,2,Beginner
401,69,75.62,2,184,80,5,3,1,Intermediate
402,98,85.41,0,126,90,7,3,1,Advanced
403,36,15.6,5,561,19,1,1,9,School Student
404,46,43.46,8,334,27,2,1,7,School Student
405,93,99.76,0,118,94,8,3,1,Advanced
406,41,21.91,7,368,17,2,1,8,School Student
407,79,72.12,2,279,70,6,3,3,Intermediate
408,20,29.52,6,684,32,1,1,8,School Student
409,54,60.42,5,472,54,4,2,3,Beginner
410,83,69.03,1,127,77,5,3,1,Intermediate
411,83,67.65,3,236,83,7,3,2,Intermediate
412,51,40.95,3,594,58,4,2,2,Beginner
413,84,74.34,2,131,55,5,3,3,Intermediate
414,55,42.34,5,551,25,3,2,4,Beginner
415,45,53.06,3,415,42,3,2,4,Beginner
416,76,49.06,2,378,33,3,2,3,Beginner
417,79,76.47,1,282,58,5,3,1,Intermediate
418,65,82.86,3,182,87,7,3,3,Intermediate
419,40,35.69,5,779,26,1,1,9,School Student
420,82,67.69,2,140,65,6,3,1,Intermediate
421,79,84.81,2,127,75,5,3,3,Intermediate
422,12,35.83,4,848,5,1,1,8,School Student
423,17,36.91,4,426,5,2,1,6,School Student
424,72,72.98,2,293,63,6,3,3,Intermediate
425,44,29.22,9,487,17,1,1,5,School Student
426,28,28.29,5,674,38,2,1,7,School Student
427,66,66.46,1,230,80,6,3,3,Intermediate
428,53,63.23,3,254,46,4,2,2,Beginner
429,40,53.72,3,468,40,3,2,2,Beginner
430,64,43.07,2,382,42,4,2,3,Beginner
431,43,55.62,5,347,51,4,2,3,Beginner
432,53,60.56,5,534,41,4,2,4,Beginner
433,32,35.22,7,589,22,2,1,5,School Student
434,73,79.97,3,212,75,6,3,2,Intermediate
435,82,74.34,2,188,78,7,3,1,Intermediate
436,55,54.12,3,299,37,3,2,4,Beginner
437,45,49.43,5,378,56,3,2,3,Beginner
438,38,23.57,6,474,27,1,1,8,School Student
439,89,99.49,1,70,96,10,3,0,Advanced
440,93,86.58,0,142,91,7,3,1,Advanced
441,48,27.51,4,654,22,2,1,9,School Student
442,73,66.05,1,132,67,5,3,1,Intermediate
443,41,45.3,2,365,30,4,2,5,Beginner
444,68,78.56,1,281,58,7,3,2,Intermediate
445,70,77.9,1,147,89,6,3,2,Intermediate
446,60,47.19,4,212,29,3,2,5,Beginner
447,19,10.51,8,401,28,2,1,9,School Student
448,78,73.27,1,250,87,5,3,2,Intermediate
449,68,51.6,5,577,45,4,2,2,Beginner
450,67,46.68,2,303,47,4,2,5,Beginner
451,39,22.87,8,433,11,2,1,8,School Student
452,62,52.95,5,512,31,4,2,5,Beginner
453,43,53.71,5,310,28,4,2,4,Beginner
454,72,69.14,3,251,89,7,3,1,Intermediate
455,43,31.12,8,378,27,2,1,5,School Student
456,47,63.57,2,511,51,4,2,3,Beginner
457,73,69.1,2,225,75,5,3,2,Intermediate
458,58,43.67,2,559,23,3,2,4,Beginner
459,75,81.2,3,171,87,6,3,1,Intermediate
460,93,95.35,1,172,97,7,3,1,Advanced
461,74,65.89,1,297,87,7,3,2,Intermediate
462,65,56.99,2,589,57,4,2,3,Beginner
463,78,75.93,1,122,79,6,3,1,Intermediate
464,52,41.25,2,408,30,3,2,3,Beginner
465,96,94.89,0,75,83,9,3,1,Advanced
466,100,99.3,1,135,90,7,3,0,Advanced
467,91,86.1,1,141,85,10,3,1,Advanced
468,66,78.97,3,199,51,6,3,3,Intermediate
469,49,51.92,5,293,20,3,2,4,Beginner
470,78,76.3,2,212,71,5,3,1,Intermediate
471,74,81.1,1,289,89,6,3,3,Intermediate
472,69,69.92,1,227,62,5,3,2,Intermediate
473,90,90.97,0,93,98,7,3,1,Advanced
474,46,49.29,5,316,49,3,2,4,Beginner
475,95,89.13,0,77,92,10,3,0,Advanced
476,66,50.39,2,313,20,4,2,3,Beginner
477,88,85.41,0,134,88,7,3,0,Advanced
478,26,15.19,8,879,9,2,1,6,School Student
479,60,52.92,3,570,38,3,2,5,Beginner
480,62,63.66,5,332,40,4,2,5,Beginner
481,84,74.95,1,255,68,7,3,2,Intermediate
482,28,12.42,6,720,5,1,1,6,School Student
483,45,34.28,5,303,7,2,1,4,School Student
484,60,47.06,4,564,24,3,2,3,Beginner
485,48,40.0,2,387,25,3,2,2,Beginner
486,91,88.05,0,120,99,9,3,1,Advanced
487,13,43.84,9,810,9,1,1,5,School Student
488,69,60.45,5,405,55,3,2,5,Beginner
489,72,78.22,3,150,59,7,3,2,Intermediate
490,73,70.38,2,136,53,7,3,1,Intermediate
491,46,13.59,4,490,29,1,1,7,School Student
492,99,97.41,1,74,86,9,3,1,Advanced
493,91,86.88,0,116,96,8,3,0,Advanced
494,14,22.09,9,639,7,1,1,4,School Student
495,77,83.94,1,200,52,6,3,3,Intermediate
496,43,49.61,4,242,54,4,2,3,Beginner
497,78,81.87,3,251,73,7,3,1,Intermediate
498,65,84.34,3,146,65,6,3,1,Intermediate
499,98,93.29,1,139,90,8,3,0,Advanced
500,13,31.88,5,675,26,1,1,4,School Student
501,71,71.26,3,233,65,7,3,3,Intermediate
502,79,78.48,1,232,61,6,3,1,Intermediate
503,21,31.75,4,816,32,2,1,8,School Student
504,42,20.0,4,318,26,1,1,6,School Student
505,55,43.06,8,383,11,1,1,9,School Student
506,61,55.03,5,228,43,4,2,4,Beginner
507,64,40.29,3,356,29,3,2,3,Beginner
508,89,99.68,0,128,97,8,3,1,Advanced
509,53,52.99,4,586,29,4,2,2,Beginner
510,67,53.74,3,221,45,3,2,4,Beginner
511,38,42.39,7,852,24,2,1,6,School Student
512,79,76.07,1,153,71,7,3,2,Intermediate
513,49,51.27,5,247,25,3,2,4,Beginner
514,67,40.05,5,264,38,4,2,2,Beginner
515,24,17.46,6,859,25,1,1,9,School Student
516,77,73.16,1,164,53,7,3,1,Intermediate
517,58,63.94,5,272,51,4,2,3,Beginner
518,96,92.47,0,113,97,9,3,1,Advanced
519,37,25.19,7,678,13,1,1,5,School Student
520,56,53.67,2,369,39,3,2,5,Beginner
521,79,79.77,3,182,82,5,3,2,Intermediate
522,55,62.78,4,260,22,4,2,3,Beginner
523,55,42.03,5,337,37,4,2,4,Beginner
524,77,80.74,3,221,50,7,3,3,Intermediate
525,58,59.27,2,272,25,3,2,2,Beginner
526,67,49.21,3,236,28,4,2,5,Beginner
527,66,77.6,3,242,87,6,3,2,Intermediate
528,69,80.68,2,217,71,7,3,2,Intermediate
529,20,30.66,8,387,8,2,1,4,School Student
530,70,78.1,1,221,87,5,3,1,Intermediate
531,19,42.99,5,754,7,1,1,7,School Student
532,43,47.23,5,339,46,4,2,3,Beginner
533,60,58.56,3,251,43,3,2,2,Beginner
534,62,63.82,5,309,58,4,2,2,Beginner
535,68,49.82,4,308,54,3,2,3,Beginner
536,44,56.92,2,275,42,4,2,4,Beginner
537,61,47.4,4,364,42,3,2,5,Beginner
538,79,74.79,1,264,89,5,3,2,Intermediate
539,51,52.87,3,445,52,4,2,2,Beginner
540,49,62.04,3,337,55,4,2,2,Beginner
541,20,18.59,9,426,23,2,1,9,School Student
542,92,99.79,0,106,80,8,3,0,Advanced
543,49,50.3,3,553,32,4,2,2,Beginner
544,81,83.9,1,183,78,7,3,2,Intermediate
545,14,36.77,6,306,5,1,1,9,School Student
546,67,76.21,1,279,75,5,3,2,Intermediate
547,65,74.3,2,199,56,6,3,1,Intermediate
548,11,24.16,6,438,34,1,1,5,School Student
549,100,88.12,1,81,85,10,3,0,Advanced
550,40,61.2,5,512,37,4,2,2,Beginner
551,88,99.96,0,165,82,9,3,0,Advanced
552,47,41.72,3,331,30,4,2,4,Beginner
553,75,81.63,1,256,77,7,3,2,Intermediate
554,79,65.97,1,177,86,5,3,2,Intermediate
555,84,67.81,1,163,78,7,3,3,Intermediate
